,image,steering_angle,steering_angle_rounded
0,IMG/center_2016_12_01_13_30_48_287.jpg,0.0,0.0
1, IMG/left_2016_12_01_13_30_48_287.jpg,0.25,0.25
2, IMG/right_2016_12_01_13_30_48_287.jpg,-0.25,-0.25
3,IMG/center_2016_12_01_13_30_48_404.jpg,0.0,0.0
4, IMG/left_2016_12_01_13_30_48_404.jpg,0.25,0.25
5, IMG/right_2016_12_01_13_30_48_404.jpg,-0.25,-0.25
6,IMG/center_2016_12_01_13_31_12_937.jpg,0.0,0.0
7, IMG/left_2016_12_01_13_31_12_937.jpg,0.25,0.25
8, IMG/right_2016_12_01_13_31_12_937.jpg,-0.25,-0.25
9,IMG/center_2016_12_01_13_31_13_037.jpg,0.0,0.0
10, IMG/left_2016_12_01_13_31_13_037.jpg,0.25,0.25
11, IMG/right_2016_12_01_13_31_13_037.jpg,-0.25,-0.25
12,IMG/center_2016_12_01_13_31_13_177.jpg,0.0,0.0
13, IMG/left_2016_12_01_13_31_13_177.jpg,0.25,0.25
14, IMG/right_2016_12_01_13_31_13_177.jpg,-0.25,-0.25
15,IMG/center_2016_12_01_13_31_13_279.jpg,0.0,0.0
16, IMG/left_2016_12_01_13_31_13_279.jpg,0.25,0.25
17, IMG/right_2016_12_01_13_31_13_279.jpg,-0.25,-0.25
18,IMG/center_2016_12_01_13_31_13_381.jpg,0.0,0.0
19, IMG/left_2016_12_01_13_31_13_381.jpg,0.25,0.25
20, IMG/right_2016_12_01_13_31_13_381.jpg,-0.25,-0.25
21,IMG/center_2016_12_01_13_31_13_482.jpg,0.0,0.0
22, IMG/left_2016_12_01_13_31_13_482.jpg,0.25,0.25
23, IMG/right_2016_12_01_13_31_13_482.jpg,-0.25,-0.25
24,IMG/center_2016_12_01_13_31_13_584.jpg,0.0,0.0
25, IMG/left_2016_12_01_13_31_13_584.jpg,0.25,0.25
26, IMG/right_2016_12_01_13_31_13_584.jpg,-0.25,-0.25
27,IMG/center_2016_12_01_13_31_13_686.jpg,0.0,0.0
28, IMG/left_2016_12_01_13_31_13_686.jpg,0.25,0.25
29, IMG/right_2016_12_01_13_31_13_686.jpg,-0.25,-0.25
30,IMG/center_2016_12_01_13_31_13_786.jpg,0.0,0.0
31, IMG/left_2016_12_01_13_31_13_786.jpg,0.25,0.25
32, IMG/right_2016_12_01_13_31_13_786.jpg,-0.25,-0.25
33,IMG/center_2016_12_01_13_31_13_890.jpg,0.0,0.0
34, IMG/left_2016_12_01_13_31_13_890.jpg,0.25,0.25
35, IMG/right_2016_12_01_13_31_13_890.jpg,-0.25,-0.25
36,IMG/center_2016_12_01_13_31_13_991.jpg,0.0,0.0
37, IMG/left_2016_12_01_13_31_13_991.jpg,0.25,0.25
38, IMG/right_2016_12_01_13_31_13_991.jpg,-0.25,-0.25
39,IMG/center_2016_12_01_13_31_14_092.jpg,0.0,0.0
40, IMG/left_2016_12_01_13_31_14_092.jpg,0.25,0.25
41, IMG/right_2016_12_01_13_31_14_092.jpg,-0.25,-0.25
42,IMG/center_2016_12_01_13_31_14_194.jpg,0.0,0.0
43, IMG/left_2016_12_01_13_31_14_194.jpg,0.25,0.25
44, IMG/right_2016_12_01_13_31_14_194.jpg,-0.25,-0.25
45,IMG/center_2016_12_01_13_31_14_295.jpg,0.0,0.0
46, IMG/left_2016_12_01_13_31_14_295.jpg,0.25,0.25
47, IMG/right_2016_12_01_13_31_14_295.jpg,-0.25,-0.25
48,IMG/center_2016_12_01_13_31_14_398.jpg,0.0,0.0
49, IMG/left_2016_12_01_13_31_14_398.jpg,0.25,0.25
50, IMG/right_2016_12_01_13_31_14_398.jpg,-0.25,-0.25
51,IMG/center_2016_12_01_13_31_14_500.jpg,0.0,0.0
52, IMG/left_2016_12_01_13_31_14_500.jpg,0.25,0.25
53, IMG/right_2016_12_01_13_31_14_500.jpg,-0.25,-0.25
54,IMG/center_2016_12_01_13_31_14_602.jpg,0.0,0.0
55, IMG/left_2016_12_01_13_31_14_602.jpg,0.25,0.25
56, IMG/right_2016_12_01_13_31_14_602.jpg,-0.25,-0.25
57,IMG/center_2016_12_01_13_31_14_702.jpg,0.0,0.0
58, IMG/left_2016_12_01_13_31_14_702.jpg,0.25,0.25
59, IMG/right_2016_12_01_13_31_14_702.jpg,-0.25,-0.25
60,IMG/center_2016_12_01_13_31_14_803.jpg,0.0,0.0
61, IMG/left_2016_12_01_13_31_14_803.jpg,0.25,0.25
62, IMG/right_2016_12_01_13_31_14_803.jpg,-0.25,-0.25
63,IMG/center_2016_12_01_13_31_14_904.jpg,0.0,0.0
64, IMG/left_2016_12_01_13_31_14_904.jpg,0.25,0.25
65, IMG/right_2016_12_01_13_31_14_904.jpg,-0.25,-0.25
66,IMG/center_2016_12_01_13_31_15_005.jpg,0.0,0.0
67, IMG/left_2016_12_01_13_31_15_005.jpg,0.25,0.25
68, IMG/right_2016_12_01_13_31_15_005.jpg,-0.25,-0.25
69,IMG/center_2016_12_01_13_31_15_106.jpg,0.0,0.0
70, IMG/left_2016_12_01_13_31_15_106.jpg,0.25,0.25
71, IMG/right_2016_12_01_13_31_15_106.jpg,-0.25,-0.25
72,IMG/center_2016_12_01_13_31_15_208.jpg,0.0,0.0
73, IMG/left_2016_12_01_13_31_15_208.jpg,0.25,0.25
